Nome Immagine,Frammento 1,Frammento 2,Frammento 3,Frammento 4,Descrizione Totale
aleksey-savrasov_courtyard-spring-1853.jpg,"rgb(100, 150, 50)","rgb(120, 160, 40)","rgb(140, 170, 30)","rgb(160, 180, 20)","rgb(180, 190, 10)"
alfred-sisley_village-on-the-banks-of-the-seine-1872.jpg,"rgb(170, 230, 100)","rgb(180, 220, 110)","rgb(160, 210, 90)","rgb(150, 200, 80)","rgb(140, 190, 70)"
chaldin-alex_lilies.jpg,"rgb(255, 100, 50)","rgb(180, 150, 100)","rgb(120, 180, 120)","rgb(150, 200, 100)","rgb(100, 150, 100)"
currier-and-ives_catching-a-trout-1854.jpg,"rgb(170, 100, 50)","rgb(140, 120, 70)","rgb(110, 130, 90)","rgb(100, 150, 60)","rgb(120, 140, 80)"
edvard-munch_girl-yawning-1913.jpg,"rgb(255, 100, 50)","rgb(230, 150, 60)","rgb(240, 120, 40)","rgb(220, 130, 55)","rgb(210, 110, 45)"
edward-robert-hughes_day.jpg,"rgb(120, 180, 100)","rgb(150, 170, 110)","rgb(130, 160, 90)","rgb(140, 165, 85)","rgb(125, 175, 95)"
gerard-van-honthorst_diana-with-her-nymphs-1650.jpg,"rgb(180, 100, 30)","rgb(120, 160, 80)","rgb(140, 130, 110)","rgb(190, 110, 40)","rgb(120, 160, 80)"
giorgio-vasari_assumption-of-the-virgin-detail-1.jpg,"rgb(170, 190, 180)","rgb(180, 170, 160)","rgb(160, 150, 140)","rgb(190, 180, 170)","rgb(150, 160, 150)"
hans-andersen-brendekilde_en-skovtur-ved-odense-a-1897.jpg,"rgb(120, 180, 60)","rgb(140, 160, 50)","rgb(100, 170, 40)","rgb(130, 165, 55)","rgb(110, 175, 45)"
helene-de-beauvoir_untitled-9.jpg,"rgb(170, 100, 30)","rgb(200, 180, 50)","rgb(150, 120, 60)","rgb(190, 160, 40)","rgb(140, 110, 35)"
hermann-hendrich_witches-dance.jpg,"rgb(230, 100, 30)","rgb(180, 150, 50)","rgb(150, 120, 60)","rgb(200, 130, 40)","rgb(170, 110, 30)"
hiroshige_2-kasumigaseki-1857.jpg,"rgb(120, 180, 50)","rgb(150, 190, 60)","rgb(130, 170, 45)","rgb(140, 185, 55)","rgb(160, 195, 65)"
hiroshige_prune-orchard-sun.jpg,"rgb(100, 150, 50)","rgb(120, 180, 60)","rgb(140, 160, 70)","rgb(160, 140, 80)","rgb(180, 120, 90)"
ivan-albright_noname-6.jpg,"rgb(170, 100, 30)","rgb(120, 150, 60)","rgb(140, 110, 40)","rgb(130, 120, 50)","rgb(150, 100, 30)"
jan-matejko_sigismund-i-the-old.jpg,"rgb(100, 150, 50)","rgb(120, 160, 40)","rgb(80, 140, 30)","rgb(110, 155, 45)","rgb(90, 145, 35)"
jan-matejko_song.jpg,"rgb(120, 180, 60)","rgb(150, 160, 80)","rgb(100, 140, 100)","rgb(130, 170, 50)","rgb(110, 150, 70)"
jan-matejko_stanislaw-august.jpg,"rgb(170, 190, 120)","rgb(140, 160, 100)","rgb(120, 130, 80)","rgb(150, 170, 90)","rgb(130, 150, 70)"
jan-steen_esther-ahasuerus-and-haman-1668.jpg,"rgb(255, 165, 30)","rgb(200, 150, 50)","rgb(150, 100, 50)","rgb(200, 120, 60)","rgb(180, 140, 70)"
john-flaxman_illustration-to-the-iliad-1795-25.jpg,"rgb(170, 190, 130)","rgb(140, 180, 110)","rgb(120, 160, 90)","rgb(150, 170, 100)","rgb(130, 160, 80)"
john-singer-sargent_venice-the-prison.jpg,"rgb(170, 180, 120)","rgb(140, 160, 100)","rgb(190, 150, 110)","rgb(160, 170, 130)","rgb(150, 160, 125)"
john-singer-sargent_villa-de-marlia-a-fountain-1910.jpg,"rgb(120, 180, 60)","rgb(150, 160, 100)","rgb(100, 140, 80)","rgb(130, 170, 50)","rgb(110, 150, 70)"
john-singer-sargent_villa-torlonia-fountain-1907-1.jpg,"rgb(170, 190, 120)","rgb(140, 180, 100)","rgb(110, 160, 80)","rgb(130, 170, 90)","rgb(150, 180, 100)"
john-singer-sargent_villa-torlonia-fountain-1907-2.jpg,"rgb(170, 200, 100)","rgb(140, 180, 80)","rgb(120, 160, 60)","rgb(150, 190, 90)","rgb(130, 170, 70)"
juan-gris_the-open-book-1925.jpg,"rgb(120, 160, 100)","rgb(140, 170, 110)","rgb(130, 150, 90)","rgb(125, 165, 105)","rgb(135, 160, 95)"
juan-gris_the-table-in-front-of-the-picture-1926.jpg,"rgb(170, 100, 50)","rgb(140, 130, 80)","rgb(120, 150, 110)","rgb(160, 180, 120)","rgb(130, 140, 90)"
juan-gris_violin-with-fruit-1924.jpg,"rgb(170, 100, 50)","rgb(180, 150, 80)","rgb(140, 120, 60)","rgb(160, 130, 70)","rgb(150, 110, 55)"
juan-van-der-hamen_abraham-und-die-drei-engel.jpg,"rgb(170, 100, 50)","rgb(120, 80, 30)","rgb(150, 130, 70)","rgb(140, 110, 60)","rgb(160, 120, 55)"
kay-nielsen_the-unicorn-valiant-little-tailor.jpg,"rgb(170, 190, 120)","rgb(180, 180, 140)","rgb(160, 170, 110)","rgb(150, 160, 100)","rgb(140, 150, 90)"
kay-sage_constant-variation-1958.jpg,"rgb(120, 160, 100)","rgb(140, 170, 90)","rgb(130, 150, 80)","rgb(150, 160, 70)","rgb(125, 155, 85)"
kay-sage_le-passage-1956.jpg,"rgb(120, 180, 100)","rgb(150, 160, 80)","rgb(140, 140, 110)","rgb(130, 150, 90)","rgb(160, 170, 120)"
l-s-lowry_a-procession-1929.jpg,"rgb(120, 180, 100)","rgb(140, 160, 80)","rgb(200, 100, 50)","rgb(150, 170, 120)","rgb(180, 130, 60)"
le-corbusier_divinit-baroque-1943-1.jpg,"rgb(170, 100, 50)","rgb(180, 120, 60)","rgb(160, 110, 40)","rgb(150, 105, 45)","rgb(175, 115, 55)"
le-corbusier_la-chemin-e-1918.jpg,"rgb(120, 160, 180)","rgb(140, 150, 130)","rgb(100, 120, 110)","rgb(130, 140, 120)","rgb(110, 130, 100)"
le-corbusier_la-lanterne-et-le-petit-haricot-1930.jpg,"rgb(255, 100, 50)","rgb(180, 150, 100)","rgb(120, 180, 120)","rgb(150, 100, 150)","rgb(100, 150, 100)"
le-corbusier_le-bol-rouge-1919.jpg,"rgb(170, 100, 50)","rgb(180, 120, 60)","rgb(160, 110, 40)","rgb(150, 105, 45)","rgb(175, 115, 55)"
louis-comfort-tiffany_reading-lamp-tulip-design-dome-shape-1906.jpg,"rgb(120, 180, 100)","rgb(140, 160, 80)","rgb(100, 150, 60)","rgb(130, 170, 90)","rgb(110, 160, 70)"
luca-giordano_saint-sebastian-cured-by-irene-1665.jpg,"rgb(230, 100, 50)","rgb(180, 150, 80)","rgb(120, 120, 60)","rgb(150, 180, 100)","rgb(100, 140, 80)"
lucas-van-leyden_virgil-in-the-basket-1516.jpg,"rgb(120, 180, 50)","rgb(140, 160, 40)","rgb(130, 170, 60)","rgb(150, 165, 35)","rgb(145, 175, 45)"
lucian-freud_naked-girl-perched-on-a-chair.jpg,"rgb(120, 180, 100)","rgb(140, 160, 80)","rgb(150, 170, 90)","rgb(130, 165, 85)","rgb(145, 175, 95)"
lucian-freud_naked-man-with-his-friend.jpg,"rgb(120, 180, 60)","rgb(140, 160, 50)","rgb(130, 150, 40)","rgb(110, 170, 30)","rgb(125, 165, 45)"
lucian-freud_naked-man-with-rat.jpg,"rgb(120, 180, 100)","rgb(150, 160, 80)","rgb(140, 130, 60)","rgb(160, 140, 70)","rgb(130, 150, 50)"
lucian-freud_naked-portrait-1973.jpg,"rgb(170, 120, 60)","rgb(180, 150, 80)","rgb(140, 130, 110)","rgb(160, 140, 120)","rgb(150, 130, 100)"
luis-feito_n-mero-148-1959.jpg,"rgb(200, 150, 50)","rgb(180, 130, 40)","rgb(160, 110, 30)","rgb(140, 90, 20)","rgb(120, 70, 10)"
m-c-escher_baby.jpg,"rgb(230, 50, 30)","rgb(180, 70, 40)","rgb(210, 60, 35)","rgb(220, 55, 35)","rgb(200, 65, 30)"
m-c-escher_bookplate-b-g-escher-beer.jpg,"rgb(170, 100, 50)","rgb(200, 150, 70)","rgb(140, 130, 80)","rgb(190, 110, 60)","rgb(160, 120, 55)"
manuel-rivera_mutant-mirror-no-5-1971.jpg,"rgb(200, 100, 50)","rgb(180, 120, 60)","rgb(150, 130, 70)","rgb(130, 140, 80)","rgb(110, 150, 90)"
marc-chagall_abdullah-discovered-before-him-1948.jpg,"rgb(170, 100, 40)","rgb(200, 150, 60)","rgb(140, 130, 70)","rgb(180, 120, 50)","rgb(160, 110, 45)"
marc-chagall_abraham-and-three-angels-1.jpg,"rgb(120, 200, 50)","rgb(180, 150, 30)","rgb(100, 180, 60)","rgb(140, 160, 40)","rgb(160, 170, 50)"
marcel-duchamp_chess-game-1910.jpg,"rgb(170, 100, 50)","rgb(140, 120, 70)","rgb(110, 90, 40)","rgb(130, 110, 60)","rgb(150, 100, 50)"
marcel-duchamp_landscape-at-blainville-1902.jpg,"rgb(170, 190, 130)","rgb(140, 180, 110)","rgb(120, 160, 90)","rgb(150, 170, 100)","rgb(130, 160, 80)"
marcel-duchamp_portrait-of-chess-players-1911.jpg,"rgb(200, 150, 100)","rgb(220, 180, 120)","rgb(180, 160, 130)","rgb(210, 170, 110)","rgb(190, 140, 105)"
mark-tobey_the-new-day-1945.jpg,"rgb(255, 100, 50)","rgb(200, 150, 100)","rgb(150, 100, 50)","rgb(100, 100, 50)","rgb(50, 100, 50)"
maynard-dixon_the-warriors-1911.jpg,"rgb(255, 100, 50)","rgb(230, 150, 60)","rgb(240, 120, 40)","rgb(220, 130, 55)","rgb(210, 110, 45)"
mikhail-larionov_sunset-after-rain.jpg,"rgb(170, 200, 100)","rgb(140, 190, 80)","rgb(120, 180, 60)","rgb(100, 170, 40)","rgb(80, 160, 20)"
miklos-barabas_pigeon-post-1848.jpg,"rgb(120, 180, 60)","rgb(150, 160, 110)","rgb(140, 170, 80)","rgb(130, 165, 75)","rgb(125, 175, 65)"
nicholas-krushenick_greenwood-1979.jpg,"rgb(230, 100, 30)","rgb(210, 120, 40)","rgb(220, 110, 35)","rgb(215, 105, 35)","rgb(225, 105, 30)"
nicholas-krushenick_untitled-1961.jpg,"rgb(255, 100, 50)","rgb(180, 180, 180)","rgb(50, 50, 200)","rgb(150, 150, 150)","rgb(200, 100, 100)"
nicholas-krushenick_untitled-1963.jpg,"rgb(190, 120, 30)","rgb(210, 160, 40)","rgb(200, 140, 35)","rgb(220, 170, 45)","rgb(180, 130, 35)"
nicholas-krushenick_untitled-1998.jpg,"rgb(120, 180, 60)","rgb(150, 160, 50)","rgb(140, 170, 40)","rgb(130, 165, 45)","rgb(145, 168, 42)"
nicholas-roerich_a-bird-with-spread-wings.jpg,"rgb(100, 150, 50)","rgb(120, 160, 40)","rgb(140, 170, 30)","rgb(160, 180, 20)","rgb(180, 190, 10)"
nikolay-bogdanov-belsky_country-boy.jpg,"rgb(100, 150, 50)","rgb(120, 160, 60)","rgb(90, 140, 40)","rgb(110, 150, 50)","rgb(130, 160, 60)"
nikolay-bogdanov-belsky_country-boys-1.jpg,"rgb(120, 180, 60)","rgb(150, 160, 110)","rgb(100, 140, 120)","rgb(130, 150, 80)","rgb(110, 170, 90)"
nikolay-bogdanov-belsky_cowboy-2.jpg,"rgb(170, 100, 50)","rgb(140, 120, 70)","rgb(110, 130, 90)","rgb(160, 150, 110)","rgb(130, 140, 120)"
pablo-picasso_the-fool-1904.jpg,"rgb(255, 100, 50)","rgb(230, 150, 70)","rgb(210, 120, 60)","rgb(240, 130, 80)","rgb(220, 110, 60)"
pablo-picasso_the-girls-of-avignon-study-1907.jpg,"rgb(255, 100, 50)","rgb(230, 150, 70)","rgb(220, 120, 60)","rgb(240, 130, 55)","rgb(210, 110, 45)"
pablo-picasso_the-harem-1906.jpg,"rgb(255, 100, 50)","rgb(200, 150, 100)","rgb(180, 120, 80)","rgb(150, 130, 110)","rgb(120, 100, 80)"
paul-jacoulet_dans-l-isle-de-tinian-marianes-1960.jpg,"rgb(120, 180, 100)","rgb(150, 170, 110)","rgb(140, 160, 90)","rgb(130, 175, 80)","rgb(125, 165, 95)"
paul-jacoulet_femme-tatouee-de-falalap-ouest-carolines-1935.jpg,"rgb(120, 180, 100)","rgb(150, 160, 110)","rgb(100, 140, 160)","rgb(130, 170, 120)","rgb(140, 150, 130)"
paul-jacoulet_hokkan-zan-seoul-coree-1937.jpg,"rgb(170, 200, 100)","rgb(180, 210, 110)","rgb(160, 190, 90)","rgb(150, 180, 80)","rgb(140, 170, 70)"
pierre-auguste-renoir_pitcher-1919.jpg,"rgb(170, 120, 50)","rgb(200, 180, 80)","rgb(150, 160, 100)","rgb(180, 140, 60)","rgb(190, 130, 55)"
pierre-auguste-renoir_portrait-in-a-pink-dress.jpg,"rgb(120, 180, 100)","rgb(140, 160, 80)","rgb(100, 150, 60)","rgb(130, 170, 90)","rgb(110, 160, 70)"
pierre-auguste-renoir_portrait-of-a-girl-1880.jpg,"rgb(120, 180, 100)","rgb(140, 160, 80)","rgb(100, 150, 60)","rgb(130, 170, 90)","rgb(110, 160, 70)"
pierre-auguste-renoir_portrait-of-a-little-girl-1880.jpg,"rgb(120, 180, 100)","rgb(140, 160, 80)","rgb(130, 170, 90)","rgb(150, 165, 85)","rgb(125, 175, 95)"
pierre-jacques-pelletier_le-pont-marie-a-paris.jpg,"rgb(170, 190, 180)","rgb(140, 160, 150)","rgb(110, 130, 120)","rgb(100, 110, 100)","rgb(90, 100, 90)"
pierre-tal-coat_self-portrait.jpg,"rgb(170, 100, 50)","rgb(190, 130, 70)","rgb(150, 120, 60)","rgb(180, 110, 55)","rgb(160, 105, 55)"
pierre-tal-coat_untitled-1975-1.jpg,"rgb(120, 180, 100)","rgb(150, 160, 110)","rgb(140, 170, 120)","rgb(130, 150, 115)","rgb(160, 175, 105)"
pierre-tal-coat_untitled.jpg,"rgb(170, 170, 170)","rgb(190, 180, 160)","rgb(200, 190, 170)","rgb(160, 170, 150)","rgb(180, 170, 160)"
pierre-tal-coat_vol-d-oiseaux-i-1959.jpg,"rgb(255, 100, 0)","rgb(255, 150, 0)","rgb(255, 180, 0)","rgb(255, 200, 0)","rgb(255, 220, 0)"
pieter-brueghel-the-younger_conversion-of-saul-1590.jpg,"rgb(255, 100, 30)","rgb(230, 150, 50)","rgb(200, 180, 60)","rgb(180, 160, 80)","rgb(150, 140, 100)"
quentin-matsys_portret-van-desiderius-erasmus.jpg,"rgb(100, 150, 50)","rgb(120, 160, 40)","rgb(80, 140, 30)","rgb(110, 155, 45)","rgb(90, 145, 35)"
rachel-ruysch_posy-of-flowers-with-a-red-admiral-butterfly-on-a-marble-ledge-1695.jpg,"rgb(120, 180, 100)","rgb(150, 170, 80)","rgb(140, 160, 90)","rgb(130, 175, 85)","rgb(145, 165, 95)"
rachel-ruysch_spray-of-flowers-with-a-beetle-on-a-stone-balustrade-1741.jpg,"rgb(120, 180, 60)","rgb(140, 160, 80)","rgb(100, 150, 50)","rgb(130, 170, 65)","rgb(110, 165, 55)"
raden-saleh_a-flood-in-java.jpg,"rgb(200, 100, 50)","rgb(230, 150, 60)","rgb(180, 120, 80)","rgb(220, 130, 40)","rgb(190, 110, 60)"
richard-jack_river-scene-with-jetty.jpg,"rgb(170, 190, 130)","rgb(140, 180, 110)","rgb(120, 160, 90)","rgb(100, 150, 70)","rgb(80, 140, 50)"
richard-jack_the-honourable-edith-violet-kathleen-agar-robartes.jpg,"rgb(120, 180, 100)","rgb(150, 170, 110)","rgb(140, 160, 120)","rgb(130, 150, 110)","rgb(145, 165, 105)"
richard-jack_the-return-to-the-front-victoria-railway-station.jpg,"rgb(200, 150, 50)","rgb(220, 180, 60)","rgb(180, 130, 40)","rgb(210, 160, 55)","rgb(190, 140, 45)"
rosalba-carriera_crown-prince-friedrich-christian-of-saxony-1739.jpg,"rgb(120, 180, 100)","rgb(150, 160, 110)","rgb(100, 130, 170)","rgb(140, 150, 120)","rgb(130, 140, 160)"
rosalba-carriera_portrait-of-a-young-girl-1708.jpg,"rgb(100, 180, 50)","rgb(120, 160, 60)","rgb(140, 170, 40)","rgb(130, 165, 55)","rgb(110, 175, 45)"
sebastiano-conca_the-education-of-achilles.jpg,"rgb(170, 190, 100)","rgb(180, 180, 120)","rgb(130, 110, 60)","rgb(150, 160, 80)","rgb(190, 170, 90)"
stanley-spencer_the-resurrection-cookham-1927.jpg,"rgb(170, 180, 160)","rgb(140, 160, 130)","rgb(110, 120, 100)","rgb(130, 150, 120)","rgb(150, 170, 140)"
stanley-spencer_the-resurrection-reunion-1.jpg,"rgb(170, 190, 180)","rgb(200, 210, 190)","rgb(150, 170, 160)","rgb(180, 190, 170)","rgb(160, 180, 165)"
stanley-spencer_the-resurrection-with-the-raising-of-jairus-s-daughter.jpg,"rgb(200, 100, 50)","rgb(150, 120, 80)","rgb(180, 130, 90)","rgb(170, 140, 100)","rgb(190, 110, 60)"
tamara-de-lempicka_portrait-of-kizette-adult-i-1955.jpg,"rgb(170, 200, 100)","rgb(180, 210, 90)","rgb(160, 220, 80)","rgb(150, 230, 70)","rgb(140, 240, 60)"
theophile-steinlen_ton-nez-1.jpg,"rgb(120, 160, 80)","rgb(140, 170, 60)","rgb(100, 140, 50)","rgb(130, 150, 70)","rgb(110, 130, 60)"
theophile-steinlen_trois-permissionaires-barbus-1916.jpg,"rgb(200, 100, 50)","rgb(180, 120, 60)","rgb(160, 140, 70)","rgb(140, 160, 80)","rgb(120, 180, 90)"
victor-hugo_the-cellist-1856.jpg,"rgb(200, 100, 50)","rgb(220, 120, 60)","rgb(180, 90, 40)","rgb(210, 110, 55)","rgb(190, 85, 45)"
vincent-van-gogh_women-working-in-the-peat-1883.jpg,"rgb(170, 100, 50)","rgb(140, 120, 70)","rgb(180, 150, 80)","rgb(160, 130, 60)","rgb(190, 140, 90)"
wassily-kandinsky_improvisation-dreamy-1913.jpg,"rgb(200, 100, 50)","rgb(220, 150, 60)","rgb(180, 120, 40)","rgb(210, 130, 55)","rgb(190, 110, 45)"
william-henry-huddle_portrait-of-madam-candelaria-1891.jpg,"rgb(120, 160, 180)","rgb(140, 150, 130)","rgb(130, 140, 120)","rgb(110, 130, 100)","rgb(100, 120, 90)"
william-hogarth_before-the-seduction-and-after-1731.jpg,"rgb(170, 100, 50)","rgb(200, 150, 80)","rgb(180, 120, 60)","rgb(160, 110, 40)","rgb(190, 130, 70)"
